3.0.0.0,3.1.255.255,AS,SG,,Singapore,1.28009,103.851
3.2.0.0,3.4.255.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.5.0.0,3.5.23.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
3.5.24.0,3.5.127.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.5.128.0,3.5.133.255,NA,US,Ohio,Dublin,40.0992,-83.1141
3.5.134.0,3.5.207.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.5.208.0,3.5.213.255,AS,IN,Maharashtra,Mumbai,19.076,72.8777
3.5.214.0,3.5.255.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.6.0.0,3.7.255.255,AS,IN,Maharashtra,Mumbai,19.076,72.8777
3.8.0.0,3.8.9.255,EU,GB,England,London,51.5074,-0.127758
3.8.10.0,3.8.10.255,EU,GB,England,London,51.5085,-0.12574
3.8.11.0,3.8.58.255,EU,GB,England,London,51.5074,-0.127758
3.8.59.0,3.8.59.255,EU,GB,Wales,Coedpoeth,53.0539,-3.06234
3.8.60.0,3.8.79.255,EU,GB,England,London,51.5074,-0.127758
3.8.80.0,3.8.80.255,EU,GB,Scotland,Moffat,55.3353,-3.44142
3.8.81.0,3.8.152.255,EU,GB,England,London,51.5074,-0.127758
3.8.153.0,3.8.153.255,EU,GB,Scotland,Moffat,55.3353,-3.44142
3.8.154.0,3.8.161.255,EU,GB,England,London,51.5074,-0.127758
3.8.162.0,3.8.162.255,EU,GB,Scotland,Townhill,56.0891,-3.43889
3.8.163.0,3.9.1.255,EU,GB,England,London,51.5074,-0.127758
3.9.2.0,3.9.2.255,EU,GB,England,Burwell,52.2763,0.32732
3.9.3.0,3.9.4.255,EU,GB,England,London,51.5074,-0.127758
3.9.5.0,3.9.5.255,EU,GB,England,"Great Bookham",51.2792,-0.37423
3.9.6.0,3.9.86.255,EU,GB,England,London,51.5074,-0.127758
3.9.87.0,3.9.87.255,EU,GB,England,Skipton,53.9614,-2.01676
3.9.88.0,3.9.172.255,EU,GB,England,London,51.5074,-0.127758
3.9.173.0,3.9.173.255,EU,GB,England,Houghton-Le-Spring,54.8403,-1.46427
3.9.174.0,3.10.51.255,EU,GB,England,London,51.5074,-0.127758
3.10.52.0,3.10.52.255,EU,GB,Scotland,Moffat,55.3353,-3.44142
3.10.53.0,3.10.116.255,EU,GB,England,London,51.5074,-0.127758
3.10.117.0,3.10.117.255,EU,GB,England,"Market Deeping",52.6765,-0.31629
3.10.118.0,3.11.255.255,EU,GB,England,London,51.5074,-0.127758
3.12.0.0,3.23.255.255,NA,US,Ohio,Dublin,40.0992,-83.1141
3.24.0.0,3.27.255.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
3.28.0.0,3.33.255.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.34.0.0,3.35.255.255,AS,KR,Seoul,Seoul,37.5665,126.978
3.36.0.0,3.39.255.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.40.0.0,3.43.255.255,EU,IE,Leinster,Dublin,53.2897,-6.41872
3.44.0.0,3.63.255.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.64.0.0,3.79.255.255,NA,US,Connecticut,Fairfield,41.2167,-73.2535
3.80.0.0,3.82.38.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
3.82.39.0,3.82.39.255,NA,US,Virginia,Ashburn,39.0437,-77.4875
3.82.40.0,3.82.179.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
3.82.180.0,3.82.180.255,NA,US,Illinois,Gurnee,42.3703,-87.902
3.82.181.0,3.95.255.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
3.96.0.0,3.100.255.255,NA,US,Connecticut,Fairfield,41.2167,-73.2535
3.101.0.0,3.101.255.255,NA,US,California,"San Jose",37.3394,-121.895
3.102.0.0,3.103.255.255,NA,US,Connecticut,Fairfield,41.2167,-73.2535
3.104.0.0,3.107.255.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
3.108.0.0,3.111.255.255,NA,US,Connecticut,Fairfield,41.2167,-73.2535
3.112.0.0,3.115.255.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
3.116.0.0,3.119.255.255,NA,US,Connecticut,Fairfield,41.2167,-73.2535
3.120.0.0,3.127.255.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
3.128.0.0,3.129.203.255,NA,US,Ohio,Dublin,40.0992,-83.1141
3.129.204.0,3.129.204.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.129.205.0,3.143.255.255,NA,US,Ohio,Dublin,40.0992,-83.1141
3.144.0.0,3.207.255.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.208.0.0,3.239.255.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
3.240.0.0,3.247.255.255,NA,US,Washington,"Seattle (South Lake Union)",47.6223,-122.336
3.248.0.0,3.255.255.255,EU,IE,Leinster,Dublin,53.3498,-6.26031
