14.0.0.0,14.0.7.255,AS,CN,Guangdong,Guangzhou,23.1322,113.267
14.0.8.0,14.0.11.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
14.0.12.0,14.0.15.255,AS,CN,Fujian,Fuzhou,26.1008,119.295
14.0.16.0,14.0.18.255,AS,VN,Hanoi,Hanoi,21.0278,105.834
14.0.19.0,14.0.19.255,AS,VN,"Bắc Ninh","Bắc Ninh",21.1861,106.076
14.0.20.0,14.0.23.255,AS,VN,"Ho Chi Minh","Ho Chi Minh City",10.8231,106.63
14.0.24.0,14.0.24.255,AS,VN,"Vĩnh Long","Vĩnh Long",10.2537,105.972
14.0.25.0,14.0.27.255,AS,VN,Hanoi,Hanoi,21.0278,105.834
14.0.28.0,14.0.29.255,AS,VN,"Ho Chi Minh","Ho Chi Minh City",10.8231,106.63
14.0.30.0,14.0.30.255,AS,VN,Hanoi,Hanoi,21.0278,105.834
14.0.31.0,14.0.31.255,AS,VN,"Ho Chi Minh","Ho Chi Minh City",10.8231,106.63
14.0.32.0,14.0.47.255,AS,KR,Seoul,"Seoul (Teheran-ro 8-gil)",37.4973,127.032
14.0.48.0,14.0.63.255,AS,KR,Seoul,Gasan-dong,37.4776,126.889
14.0.64.0,14.0.127.255,AS,KR,Seoul,"Seoul (Teheran-ro 8-gil)",37.4973,127.032
14.0.128.0,14.0.146.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.147.0,14.0.151.255,AS,HK,"Sham Shui Po","Lai Chi Kok",22.3355,114.144
14.0.152.0,14.0.153.63,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.153.64,14.0.153.199,AS,HK,"Tuen Mun","Tuen Mun",22.3918,113.972
14.0.153.200,14.0.155.3,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.155.4,14.0.155.255,AS,HK,"Sham Shui Po","Sham Shui Po",22.3302,114.159
14.0.156.0,14.0.156.255,AS,HK,"Central and Western","Hong Kong",22.2783,114.175
14.0.157.0,14.0.157.255,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.158.0,14.0.158.223,AS,HK,"Central and Western",Central,22.283,114.158
14.0.158.224,14.0.164.11,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.164.12,14.0.164.251,AS,HK,"Central and Western",Central,22.283,114.158
14.0.164.252,14.0.168.10,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.168.11,14.0.168.231,AS,HK,Islands,"Yung Shue Wan",22.2262,114.112
14.0.168.232,14.0.170.31,AS,HK,"Tsuen Wan","Tsuen Wan",22.3964,114.109
14.0.170.32,14.0.170.127,AS,HK,"Central and Western","Hong Kong",22.2783,114.175
