34.0.0.0,34.63.255.255,NA,US,Texas,Houston,29.9387,-95.34
34.64.0.0,34.64.255.255,AS,SG,,"Singapore (Downtown Core)",1.27989,103.855
34.65.0.0,34.65.1.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.1.32,34.65.1.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.2.0,34.65.3.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.3.16,34.65.4.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.4.16,34.65.4.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.5.0,34.65.5.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.5.16,34.65.7.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.7.48,34.65.7.143,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.7.144,34.65.10.127,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.10.128,34.65.10.143,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.10.144,34.65.12.63,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.12.64,34.65.13.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.13.16,34.65.13.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.14.0,34.65.14.127,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.14.128,34.65.15.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.16.0,34.65.16.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.17.0,34.65.18.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.18.48,34.65.19.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.19.16,34.65.20.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.20.48,34.65.20.207,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.20.208,34.65.22.159,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.22.160,34.65.22.191,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.22.192,34.65.23.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.24.0,34.65.24.207,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.24.208,34.65.26.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.26.16,34.65.26.207,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.26.208,34.65.28.79,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.28.80,34.65.28.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.28.224,34.65.30.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.30.48,34.65.30.79,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.30.80,34.65.31.239,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.31.240,34.65.32.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.32.240,34.65.34.79,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.34.80,34.65.35.31,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.35.32,34.65.36.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.36.48,34.65.37.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.37.16,34.65.38.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.38.16,34.65.39.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.39.16,34.65.40.207,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.40.208,34.65.40.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.40.224,34.65.42.159,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.42.160,34.65.42.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.42.224,34.65.44.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.44.16,34.65.44.159,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.44.160,34.65.46.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.46.16,34.65.46.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.46.240,34.65.48.95,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.48.96,34.65.48.111,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.48.112,34.65.49.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.50.0,34.65.50.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.50.224,34.65.52.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.52.48,34.65.52.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.52.224,34.65.53.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.54.0,34.65.54.95,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.54.96,34.65.56.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.56.32,34.65.56.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.57.0,34.65.58.31,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.65.58.32,34.65.58.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.65.58.240,34.65.60.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
