36.0.0.0,36.0.3.255,AS,CN,Fujian,Fuzhou,26.1008,119.295
36.0.4.0,36.0.7.255,AS,NP,"Province 3",Kathmandu,27.7,85.3333
36.0.8.0,36.0.15.255,AS,CN,Shanghai,Shanghai,31.2304,121.474
36.0.16.0,36.0.63.255,AS,CN,Guangdong,Guangzhou,23.1322,113.267
36.0.64.0,36.0.127.255,AS,CN,Beijing,"Xingfeng (Daxing)",39.8012,116.506
36.0.128.0,36.0.255.255,AS,CN,Beijing,Beijing,39.9042,116.407
36.1.0.0,36.1.255.255,AS,CN,Hainan,Haikou,19.9952,110.242
36.2.0.0,36.2.1.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.2.0,36.2.2.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.3.0,36.2.3.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.4.0,36.2.4.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.2.5.0,36.2.5.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.6.0,36.2.9.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.10.0,36.2.12.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.13.0,36.2.13.255,AS,JP,Tokyo,Urayasu,35.6706,139.889
36.2.14.0,36.2.14.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.15.0,36.2.15.255,AS,JP,Saitama,Kawaguchi,35.8052,139.711
36.2.16.0,36.2.16.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.17.0,36.2.17.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.18.0,36.2.18.255,AS,JP,Tokyo,Higashikurume,35.752,139.512
36.2.19.0,36.2.22.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
36.2.23.0,36.2.23.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
36.2.24.0,36.2.24.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
36.2.25.0,36.2.25.255,AS,JP,Tokyo,Tachikawa,35.7091,139.419
36.2.26.0,36.2.26.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
