54.0.0.0,54.35.255.255,NA,US,"New Jersey",Rahway,40.6123,-74.267
54.36.0.0,54.36.0.255,EU,FR,Île-de-France,Clichy-sous-Bois,48.9109,2.54615
54.36.1.0,54.36.1.255,EU,PT,Lisbon,Lisbon,38.7363,-9.15084
54.36.2.0,54.36.2.255,EU,FR,Île-de-France,Nanterre,48.8865,2.21565
54.36.3.0,54.36.3.255,EU,BE,"Brussels Capital",Brussels,50.8503,4.35172
54.36.4.0,54.36.4.255,EU,ES,Madrid,Madrid,40.4168,-3.70379
54.36.5.0,54.36.5.255,EU,DE,Saarland,"Saarbrücken (St. Johann)",49.2429,7.00351
54.36.6.0,54.36.6.255,EU,FR,Île-de-France,Paris,48.8709,2.30536
54.36.7.0,54.36.7.255,EU,FR,"Grand Est",Strasbourg,48.5831,7.74788
54.36.8.0,54.36.8.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.9.0,54.36.9.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
54.36.10.0,54.36.10.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.11.0,54.36.11.255,EU,IT,Lombardy,"San Donato Milanese",45.4124,9.26802
54.36.12.0,54.36.12.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
54.36.13.0,54.36.13.255,EU,FR,Hauts-de-France,Roubaix,50.6916,3.20026
54.36.14.0,54.36.14.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.15.0,54.36.15.255,EU,FR,Hauts-de-France,Conchil-le-Temple,50.368,1.67022
54.36.16.0,54.36.16.255,EU,FR,"Grand Est",Strasbourg,48.5831,7.74788
54.36.17.0,54.36.17.255,EU,IT,Lombardy,"San Donato Milanese",45.4124,9.26802
54.36.18.0,54.36.18.255,EU,FR,Hauts-de-France,Roubaix,50.6917,3.20157
54.36.19.0,54.36.19.255,EU,DE,Saarland,"Saarbrücken (St. Johann)",49.2429,7.00351
54.36.20.0,54.36.20.255,EU,GB,England,London,51.5074,-0.127758
54.36.21.0,54.36.21.255,EU,PL,Mazovia,Warsaw,52.2297,21.0122
54.36.22.0,54.36.22.255,EU,GB,England,London,51.5074,-0.127758
54.36.23.0,54.36.23.255,EU,FR,Hauts-de-France,Roubaix,50.6916,3.20026
54.36.24.0,54.36.24.255,EU,BE,Flanders,Beersel,50.7699,4.31351
54.36.25.0,54.36.25.255,EU,BE,Flanders,Zaventem,50.8705,4.47694
54.36.26.0,54.36.26.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.27.0,54.36.27.255,EU,ES,Madrid,Madrid,40.4168,-3.70379
54.36.28.0,54.36.28.255,EU,NL,"North Holland",Amsterdam,52.3702,4.89517
54.36.29.0,54.36.29.255,EU,GB,England,London,51.5112,-0.0874223
54.36.30.0,54.36.31.63,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.31.64,54.36.31.255,EU,FR,"Grand Est",Strasbourg,48.5734,7.75211
54.36.32.0,54.36.32.255,EU,FR,Hauts-de-France,Roubaix,50.6916,3.20026
54.36.33.0,54.36.33.255,EU,NL,"South Holland","Rotterdam (Bedrijventerrein Rotterdam Noord-West)",51.9436,4.40985
54.36.34.0,54.36.34.255,EU,PL,Mazovia,"Grodzisk Mazowiecki",52.1078,20.6221
54.36.35.0,54.36.35.255,EU,FR,Île-de-France,Clichy-sous-Bois,48.9109,2.54615
54.36.36.0,54.36.36.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.37.0,54.36.37.255,EU,IT,Lazio,Rome,41.9028,12.4964
54.36.38.0,54.36.39.3,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.39.4,54.36.39.255,EU,IT,Lazio,Rome,41.9028,12.4964
54.36.40.0,54.36.40.255,EU,FR,Hauts-de-France,Roubaix,50.6917,3.20157
54.36.41.0,54.36.41.255,EU,NL,"South Holland","Rotterdam (Bedrijventerrein Rotterdam Noord-West)",51.9436,4.40985
54.36.42.0,54.36.42.255,EU,FR,Île-de-France,Paris,48.8461,2.3798
54.36.43.0,54.36.43.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.44.0,54.36.44.255,EU,FR,Hauts-de-France,Roubaix,50.6916,3.20026
54.36.45.0,54.36.45.255,EU,BE,Flanders,Zaventem,50.8795,4.48262
54.36.46.0,54.36.46.255,EU,GB,England,London,51.5113,-0.079212
54.36.47.0,54.36.47.255,EU,FR,Hauts-de-France,Roubaix,50.6916,3.20026
54.36.48.0,54.36.49.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.50.0,54.36.50.255,EU,FR,Hauts-de-France,Roubaix,50.6916,3.20026
54.36.51.0,54.36.55.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.56.0,54.36.59.255,EU,FR,Hauts-de-France,Roubaix,50.6916,3.20026
54.36.60.0,54.36.62.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.63.0,54.36.63.255,EU,FR,Île-de-France,Clichy-sous-Bois,48.9109,2.54615
54.36.64.0,54.36.64.255,EU,ES,Madrid,Madrid,40.4237,-3.67463
54.36.65.0,54.36.65.255,EU,DE,Saarland,"Saarbrücken (St. Johann)",49.2429,7.00351
54.36.66.0,54.36.66.255,EU,GB,England,London,51.5074,-0.127758
54.36.67.0,54.36.67.255,EU,ES,Valencia,Valencia,39.4837,-0.360121
54.36.68.0,54.36.68.255,EU,FR,Auvergne-Rhône-Alpes,Jarrie,45.1071,5.75665
54.36.69.0,54.36.69.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.70.0,54.36.70.255,EU,FR,Hauts-de-France,Roubaix,50.6917,3.20157
54.36.71.0,54.36.71.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.72.0,54.36.72.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
54.36.73.0,54.36.73.255,EU,GB,England,London,51.5046,-0.0908537
54.36.74.0,54.36.74.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.75.0,54.36.75.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
54.36.76.0,54.36.76.255,EU,IT,Lombardy,"San Donato Milanese",45.4124,9.26802
54.36.77.0,54.36.77.255,EU,ES,Madrid,Madrid,40.4168,-3.70379
54.36.78.0,54.36.78.255,EU,GB,England,London,51.5074,-0.127758
54.36.79.0,54.36.79.255,EU,FR,Hauts-de-France,Roubaix,50.6917,3.20157
54.36.80.0,54.36.80.255,EU,DE,Baden-Württemberg,"Sankt Georgen im Schwarzwald",48.1268,8.32627
54.36.81.0,54.36.81.255,EU,BE,Flanders,Assenede,51.204,3.77735
54.36.82.0,54.36.82.255,EU,FR,"Grand Est",Strasbourg,48.5734,7.75211
54.36.83.0,54.36.83.255,EU,PL,Mazovia,Warsaw,52.2297,21.0122
54.36.84.0,54.36.84.255,EU,FR,Hauts-de-France,Gravelines,50.9871,2.12554
54.36.85.0,54.36.85.255,EU,PL,Mazovia,Warsaw,52.2297,21.0122
54.36.86.0,54.36.86.255,EU,FI,Uusimaa,Helsinki,60.1677,24.9281
