121.0.0.0,121.0.7.255,OC,AU,Queensland,Brisbane,-27.4696,153.025
121.0.8.0,121.0.15.255,AS,CN,Guangdong,Guangzhou,23.1322,113.267
121.0.16.0,121.0.31.255,AS,CN,Zhejiang,Hangzhou,30.2741,120.155
121.0.32.0,121.0.55.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
121.0.56.0,121.0.63.255,AS,JP,Tokyo,Shinjuku,35.7018,139.694
121.0.64.0,121.0.65.15,AS,KR,Jeollabuk-do,Iksan,35.9483,126.958
121.0.65.16,121.0.66.127,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.66.128,121.0.66.159,AS,KR,Seoul,"Seoul (Seongsuil-ro)",37.5451,127.05
121.0.66.160,121.0.67.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.68.0,121.0.68.15,AS,KR,Seoul,Seoul,37.551,126.85
121.0.68.16,121.0.69.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.70.0,121.0.70.15,AS,KR,Seoul,Seoul,37.551,126.85
121.0.70.16,121.0.71.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.72.0,121.0.72.255,AS,KR,Seoul,"Seoul (Dogok-ro 1-gil)",37.491,127.032
121.0.73.0,121.0.73.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.74.0,121.0.74.63,AS,KR,Incheon,Incheon,37.5369,126.738
121.0.74.64,121.0.75.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.76.0,121.0.76.31,AS,KR,Seoul,Seoul,37.5641,126.998
121.0.76.32,121.0.82.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.83.0,121.0.83.31,AS,KR,Seoul,"Seoul (Seongsuil-ro)",37.5451,127.05
121.0.83.32,121.0.86.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.87.0,121.0.87.255,AS,KR,Seoul,"Seoul (Gukjegeumyung-ro 7-gil)",37.5236,126.933
121.0.88.0,121.0.89.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.90.0,121.0.90.255,AS,KR,Incheon,Incheon,37.5369,126.738
121.0.91.0,121.0.91.255,AS,KR,Seoul,Seoul,37.5641,126.998
121.0.92.0,121.0.92.255,AS,KR,Seoul,"Seoul (Gwangnaru-ro 56-gil)",37.5371,127.097
121.0.93.0,121.0.93.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.94.0,121.0.94.255,AS,KR,Seoul,Seoul,37.5641,126.998
121.0.95.0,121.0.95.255,AS,KR,Seoul,"Seoul (Tojeong-ro)",37.5434,126.929
121.0.96.0,121.0.96.7,AS,KR,Incheon,Incheon,37.447,126.732
121.0.96.8,121.0.99.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.100.0,121.0.100.255,AS,KR,Seoul,"Seoul (Dogok-ro 78-gil)",37.4973,127.059
121.0.101.0,121.0.101.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.102.0,121.0.102.255,AS,KR,Seoul,"Seoul (Baekbeom-ro)",37.5495,126.941
121.0.103.0,121.0.112.15,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.112.16,121.0.112.255,AS,KR,Gyeonggi-do,"Seongnam-si (Daewangpangyo-ro 385(sambaekpa)",37.3776,127.098
121.0.113.0,121.0.113.15,AS,KR,Jeollabuk-do,"Jeongeup-si (Jinheung-gil)",35.702,126.918
121.0.113.16,121.0.116.63,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.116.64,121.0.116.191,AS,KR,Seoul,Seoul,37.5063,127.008
121.0.116.192,121.0.117.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.118.0,121.0.118.255,AS,KR,Jeollabuk-do,"Jeongeup-si (Jinheung-gil)",35.702,126.918
121.0.119.0,121.0.119.255,AS,KR,Seoul,Seongdong-gu,37.5497,127.051
121.0.120.0,121.0.124.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.125.0,121.0.125.31,AS,KR,Seoul,"Seoul (Seongsuil-ro)",37.5451,127.05
121.0.125.32,121.0.127.255,AS,KR,Seoul,"Seoul (Yeoksam-dong)",37.4999,127.037
121.0.128.0,121.0.131.255,AS,KR,Seoul,Guro-gu,37.4954,126.887
121.0.132.0,121.0.255.255,AS,KR,Seoul,"Seoul (Digital-ro 33-gil)",37.4867,126.895
121.1.0.0,121.1.34.255,AS,PH,"National Capital Region","Makati City (Bel Air)",14.5591,121.019
121.1.35.0,121.1.35.255,AS,PH,"Central Visayas","Lapu-Lapu City",10.2662,123.997
121.1.36.0,121.1.63.255,AS,PH,"National Capital Region","Makati City (Bel Air)",14.5591,121.019
121.1.64.0,121.1.126.255,AS,KR,Gyeongsangnam-do,"Jinju-si (Jinnyangho-ro)",35.1826,128.071
121.1.127.0,121.1.127.255,AS,KR,Jeollabuk-do,"Jeongeup-si (Jinheung-gil)",35.702,126.918
121.1.128.0,121.1.131.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.132.0,121.1.133.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
121.1.134.0,121.1.134.255,AS,JP,Saitama,Niiza,35.8209,139.558
121.1.135.0,121.1.147.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.148.0,121.1.148.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
121.1.149.0,121.1.161.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.162.0,121.1.162.255,AS,JP,Gunma,Tomioka,36.2541,138.898
121.1.163.0,121.1.163.255,AS,JP,Gunma,Maebashi,36.4,139.083
121.1.164.0,121.1.164.255,AS,JP,Fukushima,Fukushima,37.75,140.467
121.1.165.0,121.1.168.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.169.0,121.1.169.255,AS,JP,Fukushima,Kōriyama,37.4,140.383
121.1.170.0,121.1.170.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.171.0,121.1.171.255,AS,JP,Fukushima,Date,37.8167,140.5
121.1.172.0,121.1.179.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.180.0,121.1.180.255,AS,JP,Hokkaido,Sapporo,43.0667,141.35
121.1.181.0,121.1.181.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.182.0,121.1.182.191,AS,JP,Tokyo,Machida,35.5403,139.451
121.1.182.192,121.1.184.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.185.0,121.1.185.255,AS,JP,Hokkaido,Sapporo,43.0667,141.35
121.1.186.0,121.1.186.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.187.0,121.1.187.255,AS,JP,Chiba,Funabashi,35.7013,139.986
121.1.188.0,121.1.188.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.189.0,121.1.189.255,AS,JP,Chiba,Kashiwa,35.8622,139.977
121.1.190.0,121.1.195.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.196.0,121.1.196.255,AS,JP,Kanagawa,Hakone,35.1894,139.026
121.1.197.0,121.1.198.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.199.0,121.1.199.255,AS,JP,Kanagawa,Fujisawa,35.3493,139.477
121.1.200.0,121.1.205.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.206.0,121.1.206.255,AS,JP,Kanagawa,Fujisawa,35.3493,139.477
121.1.207.0,121.1.209.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.210.0,121.1.210.255,AS,JP,Tochigi,Kaminokawa,36.4333,139.917
121.1.211.0,121.1.237.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.238.0,121.1.238.255,AS,JP,Shimane,Izumo,35.3667,132.767
121.1.239.0,121.1.239.255,AS,JP,Kochi,Kochi,33.55,133.533
121.1.240.0,121.1.240.255,AS,JP,Wakayama,Shingū,33.7333,135.983
121.1.241.0,121.1.241.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.242.0,121.1.242.255,AS,JP,Tokushima,Ishii,34.0675,134.442
121.1.243.0,121.1.253.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
121.1.254.0,121.1.254.255,AS,JP,Chiba,Chiba,35.6,140.117
