131.0.0.0,131.0.3.255,SA,BO,"La Paz","La Paz (Macrodistrito Centro)",-16.4983,-68.1332
131.0.4.0,131.0.7.255,SA,BR,"São Paulo",Guareí,-23.3718,-48.1842
131.0.8.0,131.0.11.255,SA,BR,"Minas Gerais",Viçosa,-20.7474,-42.8833
131.0.12.0,131.0.14.255,SA,BR,Goiás,Piracanjuba,-17.3048,-49.022
131.0.15.0,131.0.15.255,SA,BR,Goiás,Goiatuba,-18.0128,-49.3667
131.0.16.0,131.0.19.255,SA,BR,"Rio Grande do Sul","Porto Alegre (Santa Cecilia)",-30.0386,-51.2066
131.0.20.0,131.0.22.255,SA,BR,"Minas Gerais",Uberlândia,-18.9146,-48.2754
131.0.23.0,131.0.23.255,SA,BR,"Rio Grande do Sul","São Leopoldo",-29.7954,-51.1492
131.0.24.0,131.0.27.255,SA,BR,"Rio de Janeiro",Jacarepaguá,-22.9633,-43.4048
131.0.28.0,131.0.28.255,SA,BR,"Rio de Janeiro","Três Rios",-22.1167,-43.2092
131.0.29.0,131.0.30.255,SA,BR,"Rio de Janeiro",Carmo,-21.9315,-42.6076
131.0.31.0,131.0.31.255,SA,BR,"Rio de Janeiro",Petrópolis,-22.505,-43.1786
131.0.32.0,131.0.35.255,SA,BR,"Santa Catarina",Criciúma,-28.6728,-49.3734
131.0.36.0,131.0.39.255,SA,BR,"Rio de Janeiro","Rio de Janeiro",-22.9068,-43.1729
131.0.40.0,131.0.40.255,SA,BR,"Rio de Janeiro","Cabo Frio",-22.8868,-42.0263
131.0.41.0,131.0.41.255,SA,BR,"Rio de Janeiro","Rio das Ostras",-22.5269,-41.945
131.0.42.0,131.0.42.7,SA,BR,"Rio de Janeiro",Macaé,-22.3837,-41.7827
131.0.42.8,131.0.43.255,SA,BR,"Rio de Janeiro","Cabo Frio",-22.8868,-42.0263
131.0.44.0,131.0.51.255,SA,BR,"São Paulo","São Paulo",-23.5505,-46.6333
131.0.52.0,131.0.53.15,SA,CL,"Santiago Metropolitan",Quilicura,-33.3711,-70.7216
131.0.53.16,131.0.53.255,SA,CL,"Santiago Metropolitan","Las Condes",-33.4179,-70.5999
131.0.54.0,131.0.55.3,SA,CL,"Santiago Metropolitan","Las Condes",-33.4002,-70.5746
131.0.55.4,131.0.55.255,SA,CL,"Santiago Metropolitan",Santiago,-33.4508,-70.6796
131.0.56.0,131.0.59.255,SA,BR,Goiás,Formosa,-15.5406,-47.3357
131.0.60.0,131.0.60.255,SA,BR,"São Paulo","São Paulo",-23.5505,-46.6333
131.0.61.0,131.0.61.255,SA,BR,"São Paulo","Itapecerica da Serra",-23.7169,-46.8492
131.0.62.0,131.0.63.255,SA,BR,"São Paulo","São Paulo",-23.5505,-46.6333
131.0.64.0,131.0.67.255,SA,BR,Bahia,Salvador,-12.9722,-38.5014
131.0.68.0,131.0.71.255,SA,BR,"Minas Gerais","Belo Horizonte (Estoril)",-19.9614,-43.9588
131.0.72.0,131.0.75.255,NA,CR,"San José","San José",9.92807,-84.0907
131.0.76.0,131.0.79.255,SA,BR,Paraná,Quitandinha,-26.0991,-49.4287
131.0.80.0,131.0.80.255,SA,BR,Paraná,Curitiba,-25.42,-49.2651
131.0.81.0,131.0.82.255,SA,BR,Paraná,"Guaraniaçu (Loteamento Bertuol)",-25.1015,-52.8628
131.0.83.0,131.0.83.255,SA,BR,Paraná,Curitiba,-25.42,-49.2651
131.0.84.0,131.0.87.247,SA,BR,"São Paulo","Ourinhos (Centro)",-22.9785,-49.8666
131.0.87.248,131.0.87.255,SA,BR,"São Paulo","Santa Cruz do Rio Pardo",-22.8952,-49.6222
131.0.88.0,131.0.88.255,SA,BR,Bahia,"Vitória da Conquista",-14.8661,-40.8394
131.0.89.0,131.0.90.127,SA,BR,Bahia,"Vitória da Conquista",-14.8619,-40.8445
131.0.90.128,131.0.90.255,SA,BR,Bahia,"Vitória da Conquista (Centro)",-14.8496,-40.8371
131.0.91.0,131.0.91.255,SA,BR,Bahia,"Vitória da Conquista",-14.8619,-40.8445
131.0.92.0,131.0.95.255,SA,BR,"Rio de Janeiro",Lagoa,-22.9621,-43.2077
131.0.96.0,131.0.99.135,SA,BR,"Rio Grande do Sul","Santa Rosa (Centro)",-27.8684,-54.4798
131.0.99.136,131.0.99.255,SA,BR,"Rio Grande do Sul",Erechim,-27.6349,-52.2735
131.0.100.0,131.0.103.255,SA,BR,"São Paulo","São Paulo",-23.5505,-46.6333
131.0.104.0,131.0.107.255,SA,AR,"Buenos Aires F.D.","San Telmo",-34.6167,-58.368
131.0.108.0,131.0.108.255,SA,CL,"Los Lagos Region","Puerto Varas",-41.3202,-72.9843
131.0.109.0,131.0.110.255,SA,CL,"Santiago Metropolitan",Santiago,-33.4489,-70.6693
131.0.111.0,131.0.111.255,SA,CL,"Los Lagos Region","Puerto Varas",-41.3202,-72.9843
131.0.112.0,131.0.114.255,SA,BR,"Minas Gerais","Patos de Minas",-18.5873,-46.5147
131.0.115.0,131.0.115.255,SA,BR,"Minas Gerais","Patos de Minas",-18.5789,-46.5181
131.0.116.0,131.0.119.255,SA,BR,Rondônia,"Pimenta Bueno",-11.6724,-61.1985
131.0.120.0,131.0.123.255,SA,BR,"São Paulo",Pirapozinho,-22.2757,-51.5002
131.0.124.0,131.0.127.255,NA,MX,"Mexico City","Mexico City (San Rafael)",19.4403,-99.1601
131.0.128.0,131.0.128.255,SA,AR,"Buenos Aires F.D.","San Nicolas",-34.6002,-58.3831
131.0.129.0,131.0.129.255,SA,AR,Neuquen,Neuquén,-38.9524,-68.0641
131.0.130.0,131.0.131.255,SA,AR,"Buenos Aires F.D.","San Nicolas",-34.6002,-58.3831
131.0.132.0,131.0.135.255,NA,US,Virginia,Chantilly,38.9099,-77.4526
131.0.136.0,131.0.139.255,SA,CO,Antioquia,Medellín,6.2688,-75.5447
