134.0.0.0,134.0.7.255,EU,IT,Lazio,Rome,41.8843,12.3924
134.0.8.0,134.0.15.255,EU,ES,Catalonia,"Malgrat de Mar",41.6455,2.74388
134.0.16.0,134.0.18.15,EU,GB,England,Farnborough,51.2743,-0.771968
134.0.18.16,134.0.18.223,EU,GB,England,London,51.5074,-0.127758
134.0.18.224,134.0.19.255,EU,GB,England,Farnborough,51.2743,-0.771968
134.0.20.0,134.0.20.247,EU,GB,England,London,51.5074,-0.127758
134.0.20.248,134.0.21.247,EU,GB,England,Farnborough,51.2743,-0.771968
134.0.21.248,134.0.22.151,EU,GB,England,London,51.5074,-0.127758
134.0.22.152,134.0.23.255,EU,GB,England,Farnborough,51.2743,-0.771968
134.0.24.0,134.0.26.127,EU,DE,"North Rhine-Westphalia",Aachen,50.7697,6.08593
134.0.26.128,134.0.26.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
134.0.27.0,134.0.27.255,EU,DE,"North Rhine-Westphalia",Aachen,50.7697,6.08593
134.0.28.0,134.0.28.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
134.0.29.0,134.0.30.255,EU,DE,"North Rhine-Westphalia",Aachen,50.7697,6.08593
134.0.31.0,134.0.31.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
134.0.32.0,134.0.37.15,EU,AL,Tirana,Tirana,41.3275,19.8187
134.0.37.16,134.0.38.255,EU,AL,Tirana,Tirana,41.3219,19.8227
134.0.39.0,134.0.39.255,EU,AL,Tirana,Tirana,41.3316,19.8318
134.0.40.0,134.0.42.255,EU,AL,Tirana,Tirana,41.3219,19.8227
134.0.43.0,134.0.43.255,EU,AL,Tirana,Tirana,41.3275,19.8187
134.0.44.0,134.0.47.255,EU,AL,Tirana,Tirana,41.3219,19.8227
134.0.48.0,134.0.49.255,EU,AL,Tirana,Tirana,41.3316,19.8318
134.0.50.0,134.0.55.255,EU,AL,Tirana,Tirana,41.3275,19.8187
134.0.56.0,134.0.58.255,EU,AL,Tirana,Tirana,41.3316,19.8318
