141.0.0.0,141.0.7.255,AS,JO,Amman,Amman,31.9741,35.9841
141.0.8.0,141.0.11.255,AS,SG,,Singapore,1.28009,103.851
141.0.12.0,141.0.13.255,EU,NL,"North Holland",Amsterdam,52.3702,4.89517
141.0.14.0,141.0.15.255,EU,IS,"Capital Region",Reykjavik,64.1265,-21.8174
141.0.16.0,141.0.23.255,EU,DE,Bavaria,Ismaning,48.2356,11.6808
141.0.24.0,141.0.24.255,EU,NL,"North Holland",Amsterdam,52.3702,4.89517
141.0.25.0,141.0.25.255,EU,NL,Friesland,Drachten,53.1043,6.12298
141.0.26.0,141.0.28.255,EU,NL,"North Holland",Amsterdam,52.3702,4.89517
141.0.29.0,141.0.29.255,EU,NL,"South Holland",Zwijndrecht,51.8175,4.63333
141.0.30.0,141.0.31.255,EU,NL,"North Holland",Amsterdam,52.3702,4.89517
141.0.32.0,141.0.33.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.34.0,141.0.34.255,EU,GB,England,London,51.5074,-0.127758
141.0.35.0,141.0.37.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.38.0,141.0.40.255,EU,GB,England,London,51.5074,-0.127758
141.0.41.0,141.0.41.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.42.0,141.0.43.255,EU,GB,England,London,51.5074,-0.127758
141.0.44.0,141.0.44.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.45.0,141.0.46.255,EU,GB,England,London,51.5074,-0.127758
141.0.47.0,141.0.47.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.48.0,141.0.48.255,EU,GB,England,London,51.5074,-0.127758
141.0.49.0,141.0.50.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.51.0,141.0.51.255,EU,GB,England,London,51.5074,-0.127758
141.0.52.0,141.0.52.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.53.0,141.0.54.255,EU,GB,England,London,51.5074,-0.127758
141.0.55.0,141.0.55.255,EU,GB,Scotland,Inchinnan,55.8899,-4.43842
141.0.56.0,141.0.58.255,EU,GB,England,London,51.5074,-0.127758
141.0.59.0,141.0.59.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.60.0,141.0.60.255,EU,GB,England,London,51.5074,-0.127758
141.0.61.0,141.0.62.255,EU,GB,England,Bracknell,51.413,-0.765444
141.0.63.0,141.0.63.255,EU,GB,England,London,51.5074,-0.127758
141.0.64.0,141.0.64.127,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.64.128,141.0.65.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.66.0,141.0.67.127,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.67.128,141.0.68.183,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.68.184,141.0.68.255,EU,NO,Viken,Røyken,59.7346,10.3758
141.0.69.0,141.0.72.159,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.72.160,141.0.72.255,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.73.0,141.0.73.255,EU,NO,Viken,Eidsvoll,60.3311,11.2626
141.0.74.0,141.0.74.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.75.0,141.0.75.255,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.76.0,141.0.87.15,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.87.16,141.0.87.255,EU,NO,Rogaland,Stavanger,58.9525,5.70343
141.0.88.0,141.0.88.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.89.0,141.0.89.255,EU,NO,"Vestfold og Telemark",Notodden,59.5594,9.25853
141.0.90.0,141.0.92.191,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.92.192,141.0.92.255,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.93.0,141.0.94.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.95.0,141.0.95.255,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.96.0,141.0.101.127,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.101.128,141.0.101.255,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.102.0,141.0.106.63,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.106.64,141.0.106.191,EU,NO,Rogaland,Stavanger,58.97,5.73311
141.0.106.192,141.0.107.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.108.0,141.0.109.255,EU,NO,Rogaland,Røyneberg,58.8975,5.68681
141.0.110.0,141.0.127.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.128.0,141.0.128.255,EU,NO,Nordland,Fauske,67.255,15.3625
141.0.129.0,141.0.129.255,EU,NO,Trøndelag,Orkanger,63.3067,9.85025
141.0.130.0,141.0.135.255,EU,NO,Nordland,Fauske,67.255,15.3625
141.0.136.0,141.0.136.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.137.0,141.0.137.255,EU,NO,Trøndelag,Meldal,63.0472,9.71337
141.0.138.0,141.0.142.255,EU,NO,Oslo,Oslo,59.9139,10.7522
141.0.143.0,141.0.143.255,EU,NO,"Møre og Romsdal",Aure,63.2679,8.52913
141.0.144.0,141.0.144.255,EU,GB,England,London,51.4955,-0.224089
141.0.145.0,141.0.145.255,EU,GB,England,London,51.5074,-0.127758
141.0.146.0,141.0.146.255,EU,GB,England,"Bethnal Green",51.5272,-0.06109
141.0.147.0,141.0.147.255,EU,GB,England,London,51.4955,-0.224089
141.0.148.0,141.0.148.255,EU,GB,England,"London (White City)",51.508,-0.219307
141.0.149.0,141.0.149.255,EU,GB,England,London,51.5074,-0.127758
141.0.150.0,141.0.150.255,EU,GB,England,London,51.4955,-0.224089
141.0.151.0,141.0.151.255,EU,GB,England,London,51.5074,-0.127758
141.0.152.0,141.0.152.191,EU,GB,England,London,51.4955,-0.224089
141.0.152.192,141.0.153.255,EU,GB,England,London,51.5074,-0.127758
141.0.154.0,141.0.154.255,EU,GB,England,London,51.4955,-0.224089
141.0.155.0,141.0.155.239,EU,GB,England,"London (White City)",51.508,-0.219307
141.0.155.240,141.0.157.63,EU,GB,England,London,51.5074,-0.127758
141.0.157.64,141.0.158.15,EU,GB,England,"London (White City)",51.508,-0.219307
141.0.158.16,141.0.158.255,EU,GB,England,London,51.5074,-0.127758
141.0.159.0,141.0.159.255,EU,GB,England,"London (White City)",51.508,-0.219307
141.0.160.0,141.0.160.255,EU,GB,England,Lancaster,54.0466,-2.80074
141.0.161.0,141.0.161.255,EU,GB,England,Manchester,53.4793,-2.24849
141.0.162.0,141.0.162.255,EU,GB,England,Lancaster,54.0466,-2.80074
141.0.163.0,141.0.167.255,EU,GB,England,Manchester,53.4793,-2.24849
141.0.168.0,141.0.168.255,EU,NL,Limburg,America,51.4362,5.97925
141.0.169.0,141.0.170.255,EU,NL,"North Holland",Amsterdam-Zuidoost,52.2959,4.94417
141.0.171.0,141.0.175.255,EU,NL,Limburg,America,51.4362,5.97925
141.0.176.0,141.0.178.255,EU,RU,"Samara Oblast",Samara,53.1914,50.1819
141.0.179.0,141.0.179.255,EU,RU,"Samara Oblast",Samara,53.2001,50.15
141.0.180.0,141.0.183.255,EU,RU,"Samara Oblast",Samara,53.1914,50.1819
141.0.184.0,141.0.186.255,EU,FR,Occitanie,Toulouse,43.6194,1.42525
141.0.187.0,141.0.187.71,EU,FR,Île-de-France,Paris,48.8566,2.35222
141.0.187.72,141.0.191.255,EU,FR,Occitanie,Toulouse,43.6199,1.42226
141.0.192.0,141.0.192.255,EU,NL,"North Holland","Amsterdam (Amsterdam-Zuidoost)",52.3535,5.00646
141.0.193.0,141.0.193.15,EU,GB,England,Shinfield,51.4054,-0.94534
141.0.193.16,141.0.199.255,EU,NL,"North Holland","Amsterdam (Amsterdam Nieuw-West)",52.3504,4.78206
141.0.200.0,141.0.201.127,EU,FR,Île-de-France,Paris,48.8566,2.35222
141.0.201.128,141.0.201.255,EU,FR,Occitanie,Labège,43.5426,1.50965
141.0.202.0,141.0.202.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
141.0.203.0,141.0.203.255,EU,FR,Occitanie,Labège,43.5426,1.50965
141.0.204.0,141.0.206.255,EU,FR,Île-de-France,Paris,48.8566,2.35222
141.0.207.0,141.0.207.255,EU,FR,Occitanie,Labège,43.5426,1.50965
141.0.208.0,141.0.208.255,EU,GB,England,Epsom,51.3398,-0.27161
141.0.209.0,141.0.209.255,EU,GB,England,London,51.5074,-0.127758
141.0.210.0,141.0.214.255,EU,GB,England,Epsom,51.34,-0.271424
141.0.215.0,141.0.215.255,EU,GB,England,Epsom,51.3344,-0.267898
141.0.216.0,141.0.219.255,EU,GB,England,Epsom,51.34,-0.271424
