156.0.0.0,156.0.63.255,AF,LS,Maseru,Maseru,-29.3083,27.4916
156.0.64.0,156.0.71.255,AF,ZA,Gauteng,"Johannesburg (Park Central)",-26.2178,28.0411
156.0.72.0,156.0.72.255,AF,ZA,KwaZulu-Natal,eMkhomazi,-30.2067,30.7978
156.0.73.0,156.0.75.255,AF,ZA,KwaZulu-Natal,"Nottingham Road",-29.3536,29.9969
156.0.76.0,156.0.79.255,NA,US,California,"Los Angeles (Downtown)",34.0478,-118.256
156.0.80.0,156.0.81.255,AF,GH,"Greater Accra","Accra (Abrekuma)",5.55877,-0.242613
156.0.82.0,156.0.83.255,AF,GH,"Greater Accra","Accra (Ayawaso)",5.57287,-0.208981
156.0.84.0,156.0.87.255,AF,ZA,Gauteng,"Sandton (Paulshof)",-26.0361,28.0517
156.0.88.0,156.0.91.255,AF,CD,Kinshasa,Kinshasa,-4.44193,15.2663
156.0.92.0,156.0.95.255,AF,ZA,Gauteng,Johannesburg,-26.106,28.0533
156.0.96.0,156.0.96.255,AF,ZA,Gauteng,"Centurion (Wierdapark)",-25.8489,28.1428
156.0.97.0,156.0.97.255,AS,IQ,Baghdad,Baghdad,33.325,44.422
156.0.98.0,156.0.98.255,EU,DE,Hesse,"Frankfurt am Main",50.1109,8.68213
156.0.99.0,156.0.99.255,AF,ZA,Gauteng,"Centurion (Wierdapark)",-25.8489,28.1428
156.0.100.0,156.0.102.255,EU,BE,"Brussels Capital",Brussels,50.8503,4.35172
156.0.103.0,156.0.103.255,AF,ZA,Gauteng,Johannesburg,-26.2041,28.0473
156.0.104.0,156.0.107.255,AS,IQ,Baghdad,Baghdad,33.3128,44.3615
156.0.108.0,156.0.111.255,AF,ZA,Gauteng,Pretoria,-25.7461,28.1881
156.0.112.0,156.0.115.255,AF,ZA,"Western Cape","Cape Town",-33.9249,18.4241
156.0.116.0,156.0.117.255,AS,IQ,Baghdad,Baghdad,33.3128,44.3615
156.0.118.0,156.0.118.255,AS,IQ,"An Najaf",Najaf,32.0259,44.3462
156.0.119.0,156.0.119.255,AS,IQ,Baghdad,Baghdad,33.3128,44.3615
156.0.120.0,156.0.123.255,AF,ZA,"Western Cape","Cape Town",-33.9249,18.4241
156.0.124.0,156.0.127.255,AF,ZA,Gauteng,"Centurion (Wierdapark)",-25.8489,28.1428
156.0.128.0,156.0.159.255,AF,GH,Brong-Ahafo,Sunyani,7.35151,-2.34432
156.0.160.0,156.0.160.255,AF,ZA,Gauteng,Johannesburg,-26.2041,28.0473
156.0.161.0,156.0.191.255,AF,ZA,"Western Cape","Cape Town (Constantia)",-34.0269,18.4248
156.0.192.0,156.0.195.255,AF,ZA,Gauteng,Johannesburg,-26.2041,28.0473
156.0.196.0,156.0.197.255,AF,ZA,"Western Cape","Cape Town",-33.9038,18.6005
156.0.198.0,156.0.198.255,AF,CD,Kinshasa,Kinshasa,-4.44193,15.2663
156.0.199.0,156.0.199.255,AF,AO,Luanda,Luanda,-8.83833,13.2344
156.0.200.0,156.0.201.255,AF,ZA,"Western Cape","Cape Town (Lionviham)",-34.0835,18.8519
156.0.202.0,156.0.203.255,AF,ZA,"Western Cape","Cape Town",-33.9249,18.4241
156.0.204.0,156.0.207.255,EU,CH,Fribourg,Murten/Morat,46.9219,7.16595
156.0.208.0,156.0.211.255,AF,ZA,"Orange Free State","Kroonstad (Central)",-27.6645,27.2354
156.0.212.0,156.0.212.255,AF,BJ,Littoral,Cotonou,6.37029,2.39124
156.0.213.0,156.0.213.255,AF,BJ,Littoral,Cotonou,6.36536,2.41833
156.0.214.0,156.0.215.255,AF,BJ,Littoral,Cotonou,6.37029,2.39124
156.0.216.0,156.0.216.255,AF,ZA,"Eastern Cape","Port Elizabeth (Walmer)",-33.9825,25.5796
156.0.217.0,156.0.217.255,AF,ZA,Gauteng,Johannesburg,-26.2041,28.0473
156.0.218.0,156.0.219.255,AF,ZA,"Eastern Cape","Port Elizabeth (Walmer)",-33.9825,25.5796
156.0.220.0,156.0.223.255,AF,ZA,Gauteng,Lenasia,-26.3166,27.8483
156.0.224.0,156.0.224.255,AF,ZA,Gauteng,Johannesburg,-26.2023,28.0436
156.0.225.0,156.0.231.255,AF,ZA,Gauteng,"Johannesburg (Woodmead)",-26.0575,28.0873
156.0.232.0,156.0.233.255,AF,KE,"Nairobi Area","Nairobi (Nairobi West)",-1.30899,36.8181
156.0.234.0,156.0.235.255,AF,GH,"Greater Accra","Accra (Ayawaso)",5.64575,-0.140663
156.0.236.0,156.0.236.255,AF,ZA,Gauteng,"Centurion (Highveld Techno Park)",-25.8773,28.1868
156.0.237.0,156.0.237.255,AF,ZA,KwaZulu-Natal,Empangeni,-28.7532,31.8935
156.0.238.0,156.0.238.255,AF,ZA,Gauteng,"Johannesburg (Modderfontein)",-26.1103,28.1332
156.0.239.0,156.0.239.255,AF,ZA,KwaZulu-Natal,Ballitoville,-29.539,31.2144
156.0.240.0,156.0.243.255,AF,SZ,Hhohho,Mbabane,-26.2985,31.1188
156.0.244.0,156.0.247.255,AF,ZA,Gauteng,"Centurion (Die Hoewes)",-25.8394,28.1979
156.0.248.0,156.0.251.255,AF,NG,Lagos,Lagos,6.52438,3.37921
156.0.252.0,156.0.252.255,AF,ZA,Gauteng,"Centurion (Zwartkop)",-25.8522,28.1827
156.0.253.0,156.0.253.255,AF,ZA,KwaZulu-Natal,"Durban (Riverhorse Valley)",-29.7683,31.0051
156.0.254.0,156.0.254.255,AF,AO,Luanda,Luanda,-8.90324,13.1957
156.0.255.0,156.0.255.255,AF,NG,Lagos,"Lagos (Victoria Island Annex)",6.42261,3.42406
156.1.0.0,156.1.255.255,NA,US,California,"San Francisco (Lakeshore)",37.7306,-122.483
156.2.0.0,156.2.255.255,NA,US,Washington,Richland,46.3502,-119.302
