157.0.0.0,157.0.255.255,AS,CN,Jiangsu,"Xuzhou (Pizhou Shi)",34.3388,118.014
157.1.0.0,157.1.255.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.2.0.0,157.2.12.255,AS,JP,Tokyo,Chiyoda,35.6775,139.762
157.2.13.0,157.2.13.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.2.14.0,157.2.31.255,AS,JP,Tokyo,Chiyoda,35.6775,139.762
157.2.32.0,157.2.96.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.2.97.0,157.2.97.255,AS,JP,Tokyo,Chiyoda,35.6775,139.762
157.2.98.0,157.2.255.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.3.0.0,157.3.1.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.3.2.0,157.3.2.255,AS,SG,,Singapore,1.28009,103.851
157.3.3.0,157.3.15.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.3.16.0,157.3.16.255,AS,SG,,Singapore,1.28009,103.851
157.3.17.0,157.3.162.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.3.163.0,157.3.164.255,AS,SG,,Singapore,1.28009,103.851
157.3.165.0,157.3.168.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.3.169.0,157.3.169.255,AS,SG,,Singapore,1.28009,103.851
157.3.170.0,157.3.206.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.3.207.0,157.3.207.255,AS,SG,,Singapore,1.28009,103.851
157.3.208.0,157.3.217.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.3.218.0,157.3.218.255,AS,SG,,Singapore,1.28009,103.851
157.3.219.0,157.4.95.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.4.96.0,157.4.97.255,AS,SG,,Singapore,1.28009,103.851
157.4.98.0,157.4.115.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.4.116.0,157.4.116.255,AS,SG,,Singapore,1.28009,103.851
157.4.117.0,157.4.215.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.4.216.0,157.4.216.255,AS,SG,,Singapore,1.28009,103.851
157.4.217.0,157.4.255.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.5.0.0,157.5.255.255,OC,AU,Queensland,Brisbane,-27.4698,153.025
157.6.0.0,157.6.255.255,AS,JP,Fukui,Fukui,36.0641,136.219
157.7.0.0,157.7.31.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.7.32.0,157.7.255.255,AS,JP,Tokyo,"Shibuya (Sakuragaokachō)",35.6565,139.701
157.8.0.0,157.9.255.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.10.0.0,157.10.255.255,OC,AU,Queensland,Brisbane,-27.4698,153.025
157.11.0.0,157.11.255.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.12.0.0,157.12.255.255,AS,JP,Ōsaka,Osaka,34.6937,135.502
157.13.0.0,157.13.128.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
157.13.129.0,157.13.129.255,AS,JP,Ōsaka,Higashiosaka,34.6512,135.588
157.13.130.0,157.13.255.255,AS,JP,Fukuoka,Fukuoka,33.5904,130.402
157.14.0.0,157.14.63.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.64.0,157.14.79.255,AS,JP,Tokyo,"Minato (Shinbashi)",35.6648,139.756
157.14.80.0,157.14.95.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.96.0,157.14.127.255,AS,JP,Tokyo,Toshima,35.7295,139.718
157.14.128.0,157.14.135.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.136.0,157.14.159.255,AS,JP,Tokyo,Toshima,35.7295,139.718
157.14.160.0,157.14.160.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.161.0,157.14.163.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.164.0,157.14.164.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.165.0,157.14.165.255,AS,JP,Tokyo,Hachiōji,35.6558,139.324
157.14.166.0,157.14.166.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.167.0,157.14.167.255,AS,JP,Tokyo,Urayasu,35.6706,139.889
157.14.168.0,157.14.169.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.170.0,157.14.170.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.171.0,157.14.172.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.173.0,157.14.173.255,AS,JP,Chiba,Ichikawa-minami,35.7263,139.904
157.14.174.0,157.14.174.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.175.0,157.14.175.255,AS,JP,Tokyo,Urayasu,35.6706,139.889
157.14.176.0,157.14.176.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.177.0,157.14.177.255,AS,JP,Chiba,Ichikawa-minami,35.7263,139.904
157.14.178.0,157.14.178.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.179.0,157.14.179.255,AS,JP,Tokyo,Urayasu,35.6706,139.889
157.14.180.0,157.14.180.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.181.0,157.14.184.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.185.0,157.14.185.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.186.0,157.14.186.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.187.0,157.14.187.255,AS,JP,Chiba,Ichikawa-minami,35.7263,139.904
157.14.188.0,157.14.193.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.194.0,157.14.194.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.195.0,157.14.195.255,AS,JP,Tokyo,"Minato (Shinbashi)",35.6648,139.756
157.14.196.0,157.14.196.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.197.0,157.14.198.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.199.0,157.14.200.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.201.0,157.14.201.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.202.0,157.14.202.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.203.0,157.14.203.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.204.0,157.14.204.255,AS,JP,Tokyo,Nishitōkyō,35.7336,139.548
157.14.205.0,157.14.205.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.206.0,157.14.207.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.208.0,157.14.211.255,AS,JP,Tokyo,Toshima,35.7295,139.718
157.14.212.0,157.14.223.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.224.0,157.14.224.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.225.0,157.14.225.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
157.14.226.0,157.14.226.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.227.0,157.14.227.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.228.0,157.14.229.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
157.14.230.0,157.14.230.255,AS,JP,Tokyo,Chiyoda,35.6906,139.77
157.14.231.0,157.14.231.255,AS,JP,Tokyo,"Chiyoda (Marunouchi)",35.6773,139.765
