179.0.0.0,179.0.1.255,SA,AR,"Rio Negro","General Roca",-39.026,-67.5929
179.0.2.0,179.0.3.255,SA,CL,"Santiago Metropolitan",Santiago,-33.4393,-70.6463
179.0.4.0,179.0.7.255,SA,AR,"Buenos Aires F.D.","Buenos Aires (San Nicolas)",-34.6023,-58.388
179.0.8.0,179.0.8.255,SA,CL,"Santiago Metropolitan",Santiago,-33.4393,-70.6463
179.0.9.0,179.0.9.255,SA,CO,"Valle del Cauca","Santiago de Cali",3.45442,-76.5231
179.0.10.0,179.0.10.255,SA,CO,Cundinamarca,"La Palma",4.45005,-75.1995
179.0.11.0,179.0.11.255,SA,AR,Mendoza,"Godoy Cruz",-32.93,-68.8072
179.0.12.0,179.0.13.255,NA,SV,"La Libertad","Antiguo Cuscatlán",13.6777,-89.2511
179.0.14.0,179.0.14.255,SA,AR,"Buenos Aires F.D.","Buenos Aires (Retiro)",-34.5992,-58.3783
179.0.15.0,179.0.15.255,SA,CO,"Bogota D.C.","Bogotá (Suba)",4.69929,-74.0695
179.0.16.0,179.0.19.255,SA,CL,"Santiago Metropolitan","Las Condes",-33.409,-70.5689
179.0.20.0,179.0.23.255,NA,CR,"San José","San José",9.95057,-84.1247
179.0.24.0,179.0.24.255,SA,CO,"Bogota D.C.","Bogotá (Chapinero)",4.6576,-74.0529
179.0.25.0,179.0.25.255,SA,AR,Neuquen,Cutral-Có,-38.9305,-69.2294
179.0.26.0,179.0.26.255,SA,PY,Asunción,Asunción,-25.2916,-57.6252
179.0.27.0,179.0.27.255,SA,CO,Antioquia,"Medellín (Colombia)",6.22977,-75.5748
179.0.28.0,179.0.28.255,NA,TT,"Borough of Arima",Arima,10.6079,-61.2766
179.0.29.0,179.0.29.255,SA,CO,Atlántico,Maizal,11.0127,-74.9434
179.0.30.0,179.0.30.255,SA,BO,"La Paz","La Paz",-16.5446,-68.085
179.0.31.0,179.0.31.255,NA,HN,"Francisco Morazán",Tegucigalpa,14.0723,-87.1921
179.0.32.0,179.0.32.255,NA,CR,"San José","San José",9.93252,-84.1042
179.0.33.0,179.0.63.255,NA,MX,"Mexico City","Mexico City",19.4326,-99.1332
179.0.64.0,179.0.95.255,NA,HN,"Francisco Morazán",Tegucigalpa,14.0723,-87.1921
179.0.96.0,179.0.111.255,NA,GT,Guatemala,"Guatemala City",14.6349,-90.5069
179.0.112.0,179.0.127.255,NA,SV,"San Salvador","San Salvador",13.6929,-89.2182
179.0.128.0,179.0.128.255,SA,CL,"Santiago Metropolitan","Las Condes (Sanhattan)",-33.4145,-70.6025
179.0.129.0,179.0.129.255,SA,EC,Pichincha,Quito,-0.267792,-78.546
179.0.130.0,179.0.135.255,SA,AR,Mendoza,Mendoza,-32.8895,-68.8458
179.0.136.0,179.0.143.255,SA,AR,Mendoza,Mendoza,-32.8785,-68.8791
179.0.144.0,179.0.145.255,SA,AR,"Buenos Aires","Los Polvorines",-34.5217,-58.7008
179.0.146.0,179.0.146.255,SA,CO,"Bogota D.C.","Bogotá (Los Martires)",4.61387,-74.0896
